f0,f1,f2,f3,f4,f5,f6,f7,y,idx
0.806928,-8.634767,0.052381,0.056123,0.004858,0.030837,0.040885,0.033884,1,0
-2.413079,5.456404,-0.019589,-0.009882,0.040458,-0.070994,-0.011505,0.066560,3,1
-3.814311,2.315116,0.052585,-0.005759,-0.020258,0.013917,0.000542,0.005685,0,2
-0.378436,5.814339,0.061722,0.001907,0.031267,-0.065552,-0.033980,-0.001572,3,3
1.100647,2.646277,0.055515,-0.000034,-0.027098,-0.074182,-0.028371,-0.014344,1,4
-1.053602,2.117429,-0.026506,-0.065699,-0.005662,-0.039132,-0.048604,0.008247,1,5
-5.186953,-1.844966,0.034802,0.034045,0.016621,-0.027728,-0.049016,-0.004182,0,6
1.483168,-2.155689,0.038892,0.046287,0.023462,-0.052289,-0.067590,-0.007973,3,7
-4.958375,-2.516311,0.009877,0.037836,-0.049756,0.007208,-0.003102,0.055718,0,8
4.213376,-4.276032,0.035338,-0.015116,-0.011573,0.002477,-0.001519,-0.023846,3,9
2.671637,3.709727,0.015386,-0.002470,-0.005648,-0.001909,0.024469,-0.011184,3,10
2.888271,3.488663,-0.020598,0.012436,0.029161,-0.031367,-0.017736,-0.019816,3,11
4.632231,-3.961086,-0.052867,-0.032852,-0.019241,-0.000362,0.035578,0.006077,1,12
3.689143,1.276593,0.020872,-0.045989,0.021649,0.027368,0.011181,-0.004015,3,13
-1.624464,-4.451905,-0.022978,-0.051029,-0.016581,0.023638,0.014689,-0.011126,1,14
-3.889846,2.434064,0.016728,-0.013207,0.041903,0.004441,0.049130,-0.018793,0,15
0.737783,-2.064807,-0.092468,-0.034975,-0.026610,-0.037442,-0.003439,0.011517,2,16
-2.146122,0.021804,-0.030425,0.023998,0.000077,-0.000926,-0.038781,-0.050219,2,17
5.001163,0.947446,-0.015177,-0.028459,-0.017120,0.005787,-0.003940,0.035801,1,18
-3.393692,-2.438511,0.063759,-0.000004,0.039083,0.051272,0.023501,-0.057835,1,19
-3.617320,0.774154,0.073668,-0.019844,-0.018211,-0.011855,-0.028116,-0.014223,1,20
2.210700,0.684935,-0.023257,0.005888,0.021437,0.053020,0.037389,-0.084302,0,21
0.867215,5.488199,-0.006118,0.036281,-0.029223,-0.037356,-0.016794,0.008072,3,22
-1.644150,-6.339968,-0.021632,-0.016527,0.000797,-0.037899,-0.004393,0.057725,3,23
-4.309640,1.979293,0.012934,-0.056412,0.003890,-0.023685,0.063337,-0.017669,0,24
1.794072,-3.597620,-0.024496,-0.031411,0.007127,0.010519,-0.037868,-0.011398,1,25
0.953006,6.461394,0.010056,-0.021481,0.018804,0.003377,0.007065,-0.006598,0,26
-0.662398,-3.520080,0.060105,0.001997,-0.041876,0.023702,0.045225,-0.025453,1,27
2.359345,4.130066,0.024987,0.006424,0.063490,-0.003423,-0.036330,-0.011384,3,28
4.681729,-0.844983,0.021848,0.005617,0.004477,-0.056865,-0.017765,0.061741,2,29
4.669191,-1.214162,0.033571,0.006422,-0.054624,0.032765,0.048471,-0.028763,2,30
3.231257,2.856984,0.006207,-0.026436,-0.010199,-0.012542,-0.045772,0.017287,3,31
-4.903543,0.788919,0.007306,-0.029804,-0.020669,0.019662,-0.041287,0.001369,0,32
-3.266912,2.996255,-0.020858,-0.033946,-0.001568,-0.015439,0.026217,-0.013935,0,33
