query_id,history,gaps_days,target_items
0,149 253 384 660 1066 1387 1475 1656 1846 2089 2352 2404 2964 3669 3682 3689 4028 4065|214 253 2131 3021 3178 3654|1146 2544 3138|775 961 1479 1890|63 104 311 632 1225 1334 1479 1743 1778 1895 3339 3587 4069|24 82 253 384 405 472 606 660 687 698 779 801 837 874 972 1005 1036 1116 1159 1186 1188 1272 1319 1536 1610 1622 1660 1757 1771 1839 1873 1875 1911 2094 2108 2131 2238 2352 2459 2558 2610 2636 2717 2766 3061 3117 3258 3268 3279 3390 3437 3657 3689 3721 3819 3902 3990|58 82 125 373 435 604 606 674 685 751 775 985 1218 1333 1721 1771 1809 1890 2130 2197 2218 2277 2306 2343 2459 2463 2499 2522 2537 2576 2603 2639 2768 2830 2853 3064 3307 3365 3467 3493 3805,0 16 57 80 122 104 158,366 396 453 1352 2668 2717 2758 2952 3406 3883
1,812 1704 2064 2229 3403|142 289 675 1181 1711 1957 2254 2542 2895 2979 3356 3481 3498 3746 3926|891 947 1153 1229 2156 2207 2596 2895|157 1511 1958 1980 2156 2703 2932 2950 3686 3761|280 428 870 902 1153 1548 1555 1646 1842 1952 2064 3504 3804|280 282 972 1160 1932 2588 3656 3804|282 874 1295 1932 2039 3311 3574|280 282 832 913 1555 2039 2156 2596 2703 3761 3789 3804|2695 3656,0 27 44 40 139 98 44 111 72,2 282 1047 1206 1932 2691 2744 2873 3789
2,22 205 279 384 614 642 675 813 853 887 1034 1066 1222 1271 1360 1385 1473 1479 1585 1597 1672 1695 1753 1846 1895 2101 2123 2166 2241 2279 2379 2404 2416 2469 2734 2746 2778 2881 2904 2909 2996 3199 3336 3385 3487 3721 3748 3844 3860 3908 4012|77 89 173 180 207 259 279 299 340 370 403 439 526 529 569 579 595 642 695 806 825 853 938 990 1007 1062 1192 1368 1385 1387 1528 1572 1652 1810 1828 1839 1895 1968 2069 2089 2106 2382 2416 2457 2535 2643 2648 2669 2694 2700 2717 2769 2778 2796 2866 2973 2981 3018 3023 3034 3049 3052 3128 3187 3219 3277 3281 3331 3405 3512 3520 3567 3604 3745 3784 3805 3876 3895 3904 3951 3953 3996 4008|70 279 439 529 534 579 597 744 763 853 891 913 1129 1331 1360 1380 1479 1585 1653 1895 1934 2241 2416 2553 2612 2681 2717 2734 2757 2812 2916 3045 3138 3156 3313 3530 3549 3580 3736 3904 3995,0 201 113,373 396 453 506 600 775 781 853 896 948 990 1025 1031 1235 1387 1414 1479 1560 1695 1932 2198 2364 2391 2402 2474 2521 2847 3182 3209 3262 3293 3580 3743 3796 3876 3995
3,23 140 147 214 336 453 511 820 999 1021 1091 1287 1298 1469 1479 1586 1656 1675 1689 1781 1900 2014 2107 2215 2291 2379 2435 2568 2581 2629 2679 2693 2740 2819 3021 3084 3366 3377 3398 3519 3724 3948 4078|23 125 140 147 157 160 164 315 376 388 477 511 594 630 800 891 913 963 1111 1191 1224 1354 1404 1456 1541 1567 1585 1587 1653 1766 1948 1980 1981 1982 2005 2014 2032 2110 2156 2291 2360 2438 2571 2596 2703 2740 2779 2892 3061 3255 3309 3366 3404 3576 3621 3646 3679 3686 3883 3899 3948|273 1807 2880|68 214 540 913 924 995 1576 1847 2105 2167 2400 2438 2674 2703 2740 3021 3178 3217 3239 3407 3445 3655 3761 3764|70 157 214 299 324 455 630 687 781 783 827 884 891 995 1070 1111 1250 1254 1511 1523 1535 1536 1567 1575 1598 1614 1632 1717 1817 1957 1980 2132 2167 2170 2257 2438 2574 2740 2771 2828 2979 3052 3141 3255 3366 3492 3518 3520 3654 3685 3716 3746 3926 3947 3965|177 455 477 594 1404 1536 1597 2438 3239 3654 3965|20 30 32 35 71 434 533 884 963 1254 1632 1709 1774 1828 1848 1957 1965 2123 2167 2740 2932 3021 3078 3231 3392 3412 3654 3761 3981|70 214 238 273 1475 1597 1957 2679 2740 2964 3078 3366|35 70 100 455 489 594 884 951 995 1254 1536 1717 1774 2095 2156 2438 2571 2674 3021 3217 3761 3965 3981|16 23 30 190 214 389 423 533 619 717 737 756 820 891 1174 1260 1268 1298 1341 1347 1354 1361 1512 1597 1654 1828 1848 1908 1957 2014 2032 2291 2353 2365 2384 2395 2414 2438 2612 2679 2927 2979 3021 3029 3090 3231 3251 3307 3417 3587 3621 3654 3686 3926 3976 4047|16 180 477 594 687 913 1242 1341 1403 1541 1597 1656 1830 1903 1932 2125 2365 2414 2438 2451 2743 2804 3029 3042 3149 3546 3620 3649 3689 3976 4065|86 214 333 456 531 913 951 1331 1585 1656 1717 2156 2400 2438 2596 2679 3006 3490 3551 3990 4065 4071|23 93 139 190 255 445 455 456 800 913 1260 1331 1361 1394 1585 1597 1656 1675 1717 1934 2014 2065 2068 2096 2156 2167 2196 2438 2544 2545 2596 2758 2830 3393 3398 3440 3686 3761 3965|23 248 396 445 651 742 795 835 1155 1168 1193 1331 1597 1809 1934 2007 2065 2167 2402 2438 2576 2661 2830 3131 3182 3393 3440 3502 3609 3876 4071|835,0 70 0 28 20 45 37 14 15 82 105 157 64 32 0,1656 4065
4,140 159 195 314 453 477 499 510 602 714 738 1010 1103 1123 1234 1380 1400 1437 1525 1621 1712 1834 2131 2515 2541 2544 2783 2805 2909 3315 3332 3392 3412 3508 3664|2740|1105 1856 2612|185 314 488 1010 1123 1437 1621 1788 2131 2544 2783 2805 3326 3332 3664|80 230 281 383 546 878 3054 4038|314 738 878 1103 1732 1788 2541 2783 2805 3412 3508 3721,0 3 0 30 47 16,35 396 453 600 738 880 1334 1575 1834 2007 2131 2356 2493 2709 2743 2783 2932 3315 3366 3518 3813 3814 3881 4027
5,733 1837 2063 3003 3635|1213 1837 3003 3072|2063|171 1213 1653 1828 2900 3361 3412|803 1043 1582 1712 1828 2169 2192 2353 2405 2522 2961 3091 3187 3361 3365 3412 3619 3786|77 277 476 479 803 970 1043 1712 1828 2192 2353 2692 2916 2976 3091 3361 3412 3561|277 374 605 803 1752 2353 2405 2692 3156 3187 3361 3923 4045|277 758 913 1043 1712 1828 2123 2393 2506 2961 3187 3222 3361 3412 3654,0 36 33 30 57 14 27 150,16 77 277 510 758 1127 1298 1495 1597 1712 1822 1828 2257 2382 2405 2438 2679 2692 2916 2921 3187 3361 3412
6,2493|58 194 1259 2537,0 0,2169
7,324 519 600 602 642 754 846 961 1259 1400 1438 1690 1807 1834 2636 2745 2783 2906 2932 3315 3705 3710|317 384 477 554 933 1180 1285 1346 1387 1499 1772 1984 2162 2404 2900 2993 3264 3377 3459 3542 3827|317 554 600 710 843 846 873 2291 2689 2745 2889 2906 2932 3014 3159 3315 3621 4051|873 1174 1257 1387 1551 2128 2169 2404 2487 2516 2689 2783 2889 3152 3159 3278 3827|180 440 511 843 873 1170 1387 1580 1761 1830 1958 2210 2404 2464 2521 2580 3014 3666 3681 3864 3915|23 317 384 518 897 1036 1076 1224 1449 1782 1945 2014 2183 2404 2521 2796 2892 3152 3343 3497,0 34 13 14 7 6,180 375 658 1036 1346 1387 1614 2169 2321 2335 2404 2521 2628 3152 3153
8,25 77 135 315 401 489 495 751 884 1268 2118 2150 2196 2395 2576 2779 2916 2932 3103 3307 3423 3447 3807 3865 3883 3990|67 77 153 751 853 1155 1340 2118 2213 2317 2576 2805 2916 2919 2932 3251 3293 3307 3575 3624|853 2576 3103 3307|19 25 35 314 630 751 845 884 963 973 1091 1511 1536 1709 1774 1948 2095 2131 2156 2196 2522 2571 2576 2596 2674 2739 2805 2919 3217 3392 3689 3965,0 21 4 7,67 200 423 601 742 751 807 914 1218 1394 1807 1905 2120 2309 2576 2661 2730 2744 2745 2805 2830 2873 2876 2906 2919 3295 3320 3641 3932
9,150 255 456 1083 2123 2432 3012 3103 3145 3343 3654 3952 3994|2974,0 0,1809
